AERODROME;Location Indicator;Visible;Latitude;LatitudeDecimal;Longitude;LongitudeDecimal;Location;Elevation;RWY1;Dimensions1 (m);Surface1;Light1;RWY2;Dimensions2 (m);Surface2;Light2;ATS;Fuel;COM FREQ (MHz);Category;AIP;Owner/Operator;TEL Fax1;TEL Fax2;Regulations and restrictions;Remarks
SJÖBO SÖVDE;ESMI;Y;553554;55,5983333333;134038;13,6772222222;2 NM SSW Sjöbo;118 ft;12/30;950x50;Grass;Yes;;;;;;91/96 UL;123,650;Non-licensed AD;N;Municipal;+46 (0)416 160 51;;;For powered aircraft right hand traffic circuit when RWY 30 is in use. For gliders right hand traffic circuit when RWY 12 is in use. APR-NOV extensive launchning of gliders.
SKELLEFTEÅ;ESNS;Y;643729;64,6247222222;210437;21,0769444444;8 NM SE;157 ft;10/28;2100x45;ASPH;Yes;;;;;TWR;;Yes;Licensed, instrument AD;Y;Municipal;;;;
SKÖVDE;ESGR;Y;582722;58,4561111111;135822;13,9727777778;5.4 NM NE;324 ft;01/19;1736x30;ASPH;Yes;;;;;AFIS;;Yes;Licensed, instrument AD;Y;Municipal;;;;
SMÅLANDSSTENAR;ESMY;Y;571007;57,1686111111;132624;13,44;;540 ft;04/22;915x15;ASPH;Yes;;;;;;100LL;123,200;Non-licensed AD;N;AB Varmförzinkning; +46 (0)371 343 00 MON-FRI 0630-1530 (0530-1430) info@varmforzinkning.se;;PPR;After TKOF RWY 22 climb on RWY heading until 700 ft AMSL (160 ft AGL). Turn right and climb on heading 235° to MNM 1500 ft AMSL (1000 ft AGL). PCL on freq 123.200 MHz, 20 sec duration.
SOLLEFTEÅ;ESNB;Y;631016;63,1711111111;165908;16,9855555556;2.4 NM WSW;433 ft;14/32;820x30;ASPH;Yes;;;;;;91/96 UL;122,350;Non-licensed AD;N;Municipal;+46 (0)620 214 00;+46 (0)620 216 81;;
STEGEBORG;ESVE;Y;582600;58,4333333333;163618;16,605;;6 ft;08/26;800x30;Grass;No;;;;;-;;123,550;Non-licensed AD;N;Stegeborgs Egendom AB;+46 (0)121 420 04;;;stegeborg@stegeborg.se www.stegeborg.se
STOCKHOLM/Arlanda;ESSA;Y;135822;13,9727777778;135822;13,9727777778;20 NM N;137 ft;01L/19R;3301x45;ASPH;Yes;01R/19L;2500x45;ASPH;Yes;TWR;;Yes;Licensed, instrument AD;Y;Swedavia AB;;;; 08/26 2500x45 ASPH Yes
STOCKHOLM/Bromma;ESSB;Y;592116;59,3544444444;175632;17,9422222222;4 NM WNW;47 ft;12/30;1668x45;ASPH;Yes;;;;;TWR;;Yes;Licensed, instrument AD;Y;Swedavia AB;;;;
STOCKHOLM/Gnesta;ESSZ;Y;590604;59,1011111111;171240;17,2111111111;4.5 NM NW Gnesta;56 ft;03/21;650x50;Grass;No;15/33;630x30;Grass;Yes;;91/96 UL;123,350;Non-licensed AD;N;Östra Sörmlands flygklubb;;;PPR 2100-0500 (2000-0400),;info@osfk.se . THR 03 displaced 170 m. THR 33 displaced 85 m. TGL prohibited 2000-0600 (1900-0500). After TKOF RWY 15/33, climb on RWY HDG to MNM 1500ft AMSL. Use RWY 03/21 only in strong wind. Avoid overflying of built-up areas. PCL RWY 15/33 on 123.35 MHz, 10 sec duration. Caution, glider flying close to airport
STOCKHOLM/Skavsta;ESKN;Y;584719;58,7886111111;165413;16,9036111111;3 NM NW Nyköping;140 ft;08/26;2880x45;ASPH;Yes;16/34;2039x40;ASPH;Yes;TWR;;Yes;Licensed, instrument AD;Y;Private;;;;
STOCKHOLM/Skå-Edeby;ESSE;Y;592042;59,345;174426;17,7405555556;10 NM W;17 ft;11/29;800x50;Grass;No;03/21;650x65;Grass;No;;100LL;123,200;Non-licensed AD;N;Municipal;+46 (0)705 48 85 85;;PPR;Answerphone +46 (0)8 560 405 74. Helicopter traffic not accepted exc police and rescue operations. ATZ established, ref ENR 2.2 Hangar and repair.
STOCKHOLM/Västerås;ESOW;Y;593522;59,5894444444;163801;16,6336111111;3 NM E Västerås;21 ft;01/19;2581x46;ASPH;Yes;;;;;TWR;;Yes;Licensed, instrument AD;Y;Municipal;;;;
STORUMAN;ESUD;Y;645739;64,9608333333;174148;17,6966666667;16 NM ESE;915 ft;15/33;2283x40;ASPH;Yes;;;;;AFIS;;Yes;Licensed, instrument AD;Y;Municipal;;;;
STORVIK/Lemstanäs;ESOL;Y;603516;60,5877777778;163512;16,5866666667;;210 ft;06/24;620x23;ASPH;No;;;;;;100LL;123,550;Non-licensed AD;N;Västra Gästrike flygklubb;+46 (0)290 375 97;;;Right hand traffic circuit to RWY 06. THR 06 displaced 150 m.
STRÖMSTAD/Näsinge;ESGS;Y;590101;59,0169444444;112037;11,3436111111;7 NM NE;115 ft;03/21;900x53;Grass;No;03/21;900x53;Grass;No;;100LL, Jet A1;123,550;Non-licensed AD;N;Municipal;+46 (0)526 190 00 (Exch);+46 (0)526 311 37;PPR; +46 (0)733 74 72 00
SUNDBRO;ESKC;Y;595522;59,9227777778;173212;17,5366666667;5 NM NW Uppsala;62 ft;03/21;630x40;Grass;Yes;08/26;500x60;Grass;No;;100LL, 91/96 UL;123,350;Non-licensed AD;N;Uppsala Flygklubb;+46 (0)18 35 70 13 (AD);+46 (0)704 93 32 40 (Info, PPR);; +46 (0)733 77 11 10 (Info PPR). www.uppsalaflygklubb.se . Situated within Uppsala CTR. Right hand traffic circuit to RWY 03 and 08. TKOF RWY 21: immediate right turn to track 217° MAG. PCL on freq 123.350 MHz, 5 transmissions of APRX 0.5 sec during 10 sec. Flying permitted: MON-THU: 0700-1900 (0600-1800) FRI: 0700-1600 (0600-1500) SAT, SUN, day before HOL, HOL: 0800-1600 (0700-1500). Other times PPR. In addition between 15 JUN-15 AUG: SUN, day before HOL, HOL: PPR. PPR for school flights and glider towing. Landing with gliders exempted from PPR. Fuel HX: Cash
SUNDSVALL-TIMRÅ;ESNN;Y;623146;62,5294444444;172634;17,4427777778;9 NM NNE;17 ft;16/34;1954x45;ASPH;Yes;;;;;TWR;;Yes;Licensed, instrument AD;Y;Municipal;;;;
SUNNE;ESKU;Y;595137;59,8602777778;130646;13,1127777778;1.5 NM NW;380 ft;01/19;770x100;Grass;No;;;;;;100LL;123,200;Non-licensed AD;N;Municipal;+46 (0)565 101 11;+46 (0)565 77 01 55;; +46 (0)703 73 05 66. THR 01 displaced 130 m.
SVEG;ESND;Y;172634;17,4427777778;172634;17,4427777778;2.4 NM NE;1178 ft;09/27;1702x30;ASPH;Yes;;;;;AFIS;;Yes;Licensed, instrument AD;Y;Municipal;;;;
SÅTENÄS;ESIB;Y;582542;58,4283333333;124240;12,7111111111;14 NM W Lidköping;181 ft;01/19;2264x40;ASPH;Yes;11/29;1933x40;ASPH;Yes;TWR;;Yes;MIL, licensed, instument AD;Y;FM/Swedish Armed Forces;;;;
SÄFFLE;ESGY;Y;590528;59,0911111111;125730;12,9583333333;2.7 NM S;151 ft;01/19;690x50;Grass;No;;;;;;91/96;123,600;Licensed AD;N;Säffle flygklubb;+46 (0)533 180 29;+46 (0)533 162 96;;+46 (0)705 09 04 92
SÖDERHAMN;ESNY;Y;611541;61,2613888889;170554;17,0983333333;2.5 NM SE Söderhamn;88 ft;12/30;2524x40;ASPH;No;;;;;;100LL, Jet A1;135,350;Non-licenced AD;N;Municipal;+46 (0)270 766 50,;+46 (0)70 340 33 10;PPR;Fuel +46 (0)70 632 55 00, +46 (0)70 632 77 70. Right hand traffic circuit RWY 12.
TIDAHOLM/Bämmelshed;ESGD;Y;581131;58,1919444444;135944;13,9955555556;;456 ft;04/22;675x50;Grass;No;;;;;;91/96;123,650;Non-licensed AD;N;Tidaholms flygklubb;+46 (0)502 330 84;+46 (0)708 33 08 41;PPR;Right hand traffic circuit to RWY 22. Downdraft may occur when easterly winds. THR 04 displaced 15 m.
TIERP;ESKT;Y;602042;60,345;172519;17,4219444444;2.7 NM W Tierp;129 ft;16/34;850x35;ASPH;No;;;;;;91/96 UL;123,400;Non-licensed AD;N;Tierp ARENA AB;Norra Upplands flygklubb +46 (0)76 78 60 088;AD manager +46 (0)73 65 22 211;;THR 34 displaced 100 m. Right hand traffic circuit to RWY 34.
TORSBY;ESST;Y;600917;60,1547222222;125937;12,9936111111;1.5 NM NNW;393 ft;16/34;1590x30;ASPH;Yes;;;;;AFIS;;Yes;Licensed, instrument AD;Y;Municipal;;;;
TROLLHÄTTAN-VÄNERSBORG;ESGT;Y;581905;58,3180555556;122042;12,345;2.9 NM NE;137 ft;15/33;1710x30;ASPH;Yes;;;;;TWR;;Yes;Licensed, instrument AD;Y;Municipal;;;;
UDDEVALLA/Backamo;ESGA;Y;581038;58,1772222222;115825;11,9736111111;10.4 NM S Uddevalla;424 ft;06/24;760x30;Grass;No;;;;;;100LL, 91/96 UL;123,550;Non-licensed AD;N;Municipal;+46 (0)522 233 65;+46 (0)705 52 33 65;PPR; +46 (0)522 69 60 00.
UDDEVALLA/Rörkärr;ESGU;Y;582204;58,3677777778;114631;11,7752777778;5.0 NM NW;120 ft;03/21;655x30;Grass;No;;;;;;100LL;123,550;Non-licensed AD;N;Private;+46 (0)522 824 14;+46 (0)522 355 55;PPR;
UMEÅ;ESNU;Y;634735;63,7930555556;201648;20,28;2.5 NM S;24 ft;14/32;2302x45;ASPH;Yes;;;;;TWR;;Yes;Licensed, instrument AD;Y;Swedavia AB;;;;
UPPSALA;ESCM;Y;595401;59,9002777778;173533;17,5925;2.5 NM NW;68 ft;08/26;2010x40;ASPH;Yes;03/21;190 x40;ASPH;Yes;WR/APP;;Yes;MIL, non-licensed AD;Y;FM/Swedish Armed Forces;;;;
VARBERG;ESGV;Y;570729;57,1247222222;121341;12,2280555556;1.5 NM NW;3 ft;06/24;600x50;Grass;Yes;12/30;560x40;Grass;Yes;;100LL, 91/96 UL;123,150;Licensed AD;N;Municipal;+46 (0)340 198 00;+46 (0)340 150 40;PPR 1 dec-15 apr.;Special permission required to use RWY 06/24. PCL on freq 123.150 MHz, 10 sec duration.
VELLINGE;ESTT;Y;552346;55,3961111111;130131;13,0252777778;;12 ft;03/21;730x30;Grass;No;;;;;;100LL;123,400;Non-licensed AD;N;Söderslätts flygklubb;+46 (0)410 33 04 50;+46 (0)708 56 78 09;; +46 (0)709 54 76 32. +46 (0)703 19 53 60. +46 (0)708 11 81 28. Obstacle 1 NM NE AD. Right hand traffic circuit to RWY 03.
VIDSEL;ESPE;Y;655231;65,8752777778;200900;20,15;10.5 NM WNW;597 ft;11/29;2230x35;ASPH;Yes;;;;;TWR;;Yes;MIL, non-licensed AD;Y;FM/Swedish Armed Forces;;;;
VILHELMINA;ESNV;Y;643443;64,5786111111;165023;16,8397222222;5 NM SE;1140 ft;10/28;1502x30;ASPH;Yes;;;;;AFIS;;Yes;Licensed, instrument AD;Y;Municipal;;;;
VISBY;ESSV;Y;573946;57,6627777778;182046;18,3461111111;2 NM NE;164 ft;03/21;2000x45;ASPH;Yes;10/28;1100x40;Grass;No;TWR;;Yes;Licensed, instrument AD;Y;Swedavia AB;;;;
VISINGSÖ;ESSI;Y;580555;58,0986111111;142409;14,4025;;309 ft;15/33;800x25;Grass;No;01/19;600x25;Grass;No;-;;123,500;Non-licensed AD;N;Jönköpings flygklubb;+46 (0)390 402 77;+46 (0)36 31 12 20;;
VÅRGÅRDA;ESGO;Y;580221;58,0391666667;124709;12,7858333333;0.8 NM NW;328 ft;04/22;890x30;ASPH;No;;;;;;Jet A1 O/R;123,650;Non-licensed AD;N;Vårgårda Flygplats AB;+46 (0)0707 91 35 94;;PPR;THR 04 displaced 200 m. THR 22 displaced 40 m. Right hand circuit to RWY 22. MAR-OCT intensive parachute jumping. Motor activities on RWY may occur. After take-off RWY 04 turn left immediately, climb on track 015° to 1000 ft GND before commencing turn. After take-off RWY 22 turn left immediately, climb on track 210° to 1000 ft GND before commencing turn. Overflying Vårgårda village SE of AD shall be avoided below 2300 ft MSL.
VÄSTERVIK;ESSW;Y;574648;57,78;163125;16,5236111111;4 NM NW;129 ft;15R/33L;800x30;ASPH;Yes;15L/33R;800x60;Grass;Yes;;100LL, Jet A1;123,250;Non-licensed AD;N;Municipal;+46 (0)490 240 50;+46 (0)490 880 00;PPR +46 (0)703 98 27 30;PCL on freq 123.250 MHz, 10 sec duration.
VÄSTERÅS/Johannisberg;ESSX;Y;593433;59,5758333333;163011;16,5030555556;2.5 NM SW;25 ft;05/23;850x23;ASPH;Yes;16/34;700x50;Grass;No;;100LL;123,650;Non-licensed AD;N;Municipal;+46 (0)21 13 56 12;;;Right hand traffic circuit when RWY 05 or RWY 16 is in use. Take off and landing exercises not allowed: MON-FRI 1700-0700 (1600-0600) SAT-SUN 1500-0900 (1400-0800) HOL H24. ATZ established, ref ENR 2.2
VÄXJÖ/Kronoberg;ESMX;Y;565549;56,9302777778;144344;14,7288888889;3.5 NM NW;610 ft;01/19;2106x45;ASPH;Yes;;;;;TWR;;Yes;Licensed, instrument AD;Y;Municipal;;;;
ÅLLEBERG;ESGC;Y;580805;58,1347222222;133609;13,6025;3 NM SE Falköping;1099 ft;03/21;550x30;Grass;No;;;;;;100LL, 91/96 UL;123,400;Non-licensed AD;N;KSAK;+46 (0)515 371 51;;PPR;
ÅNGE/Tälje;ESUJ;Y;623355;62,5652777778;155005;15,8347222222;;427 ft;14/32;720x30;Grass;No;;;;;;100LL;123,150;Non-licensed AD;N;Ånge flygklubb;+46 (0)690 222 50;+46 (0)690 230 08;;
ÅRE ÖSTERSUND;ESNZ;Y;631140;63,1944444444;143001;14,5002777778;4.5 NM W;1233 ft;12/30;2500x45;ASPH;Yes;;;;;TWR/APP;;Yes;Licensed, instrument AD;Y;Swedavia AB;;;;
ÅSELE;ESUS;Y;640933;64,1591666667;171628;17,2744444444;2.2 NM W;1011 ft;12/30;1200x30;Grass;No;;;;;;100LL;123,600;Non-licensed AD;N;Municipal;+46 (0)941 140 00;;;THR 12 and 30 displaced 100 m.
ÄLMHULT/Möckeln;ESMU;Y;563414;56,5705555556;140959;14,1663888889;2.5 NM NNE;480 ft;03/21;604x30;Grass;No;;;;;;100LL, 91/96 UL;123,600;Non-licensed AD;N;Älmhults flygklubb;+46 (0)476 147 44;+46 (0)705 18 55 22;PPR;Right hand traffic circuit to RWY 03.
ÄLVSBYN;ESUV;Y;653845;65,6458333333;210341;21,0613888889;1.1 NM SE;227 ft;04/22;730x30;Grass;No;;;;;;100LL;123,350;Non-licensed AD;N;Älvsbyn flygklubb;+46 (0)929 558 10;+46 (0)929 558 16;;THR 04 displaced 90 m. THR 22 displaced 80 m.
ÄNGELHOLM;ESTA;Y;561728;56,2911111111;125118;12,855;4 NM N Ängelholm;60 ft;14/32;1945x45;ASPH;Yes;;;;;TWR;;Yes;Licensed, instrument AD;Y;Private;;;;
ÖLANDA;ESMZ;Y;571943;57,3286111111;170301;17,0502777778;5 NM N Böda;27 ft;15/33;600x23;ASPH;No;;;;;-;;-;Non-licensed AD;N;Ölanda flyg- och motorklubb;+46 (0)485 281 41 (AD JUN-AUG);+46 (0)705 16 20 22;PPR;
ÖREBRO;ESOE;Y;591341;59,2280555556;150224;15,04;5.6 NM WSW;188 ft;01/19;2602x45;ASPH;Yes;;;;;TWR;;Yes;Licensed, instrument AD;Y;Municipal;;;;
ÖRESTEN;ESGM;Y;572643;57,4452777778;123856;12,6488888889;5.4 NM SW Kinna;378 ft;06/24;680x35;Grass;No;;;;;;100LL O/R;123,200;Non-licensed AD;N;Öresten flygklubb;+46 (0)320 400 23;+46 (0)320 552 75;;+46 (0)300 54 38 30
ÖRNSKÖLDSVIK;ESNO;Y;632428;63,4077777778;185933;18,9925;10 NM NE;354 ft;12/30;2016x45;ASPH;Yes;;;;;TWR;;Yes;Licensed, instrument AD;Y;Municipal;;;;
